group,subject,q,fixation_count,saccade_count,fixation_duration_ms,saccade_duration_ms,fixation_amplitude_mean_deg,saccade_amplitude_mean_deg,saccade_maxvel_mean,saccade_meanvel_mean,kw_fix_duration_ms,inst_fix_duration_ms,bg_fix_duration_ms,kw_time_ratio,inst_time_ratio,bg_time_ratio
control,control_group_1,1,1,0,10646000.0,0.0,50.11528695746638,,,,10646000.0,0.0,0.0,1.0,0.0,0.0
control,control_group_10,1,12,17,9050.0,245.0,4.836645143516869,1.0732112262267364,59.59851965737692,58.13812318000937,8805.0,245.0,0.0,0.9472834857450242,0.026358257127487898,0.0
control,control_group_11,1,10,12,8803.0,367.0,4.599386536950801,2.20546931755339,62.45485838933332,61.12008676226483,7946.999999999999,245.0,611.0,0.8666303162486367,0.026717557251908396,0.06663031624863686
control,control_group_12,1,13,14,11124.0,367.0,7.4663795689330374,1.3928566420272677,62.06810928559809,60.688562363535716,10634.0,245.0,245.0,0.9254198938299539,0.02132103385258028,0.02132103385258028
control,control_group_13,1,8,7,6971.0,0.0,3.9193851968451603,0.0,64.75345482636173,64.75345482636173,5870.0,1101.0,0.0,0.8420599627026252,0.15794003729737485,0.0
control,control_group_14,1,8,11,8316.0,0.0,7.924036961944504,0.0,47.52145605942746,47.52145605942746,7703.0,613.0,0.0,0.9262866762866763,0.07371332371332372,0.0
control,control_group_15,1,7,6,15037.0,0.0,14.990907063677259,0.0,48.14124580016685,48.14124580016685,13203.0,1834.0,0.0,0.8780341823502028,0.12196581764979716,0.0
control,control_group_16,1,8,9,7577.0,0.0,6.196321568015,0.0,47.033587765431925,47.033587765431925,6600.0,735.0,242.0,0.871057146627953,0.09700409132902205,0.03193876204302495
control,control_group_17,1,11,14,7093.999999999999,245.0,9.445917318696083,0.31586666679768205,54.232188746227784,53.0650177995062,5869.999999999999,1224.0,0.0,0.7998364899850116,0.16678021528818643,0.0
control,control_group_18,1,7,9,5258.0,368.0,5.880357805548059,1.8788385178326261,59.495184447669885,56.0474406839565,5014.0,244.0,0.0,0.8912193387842161,0.043370067543547816,0.0
control,control_group_19,1,9,8,7714.0,123.0,8.105998918926389,1.0255163093687252,58.25619359914857,57.11447328238402,6981.0,733.0,0.0,0.8907745310705627,0.09353068776317468,0.0
control,control_group_20,1,7,14,4160.0,609.0,4.9829482608992794,2.849302215114482,60.209503971563336,57.27424147852277,3548.0,612.0,0.0,0.7439714824910882,0.12832879010274692,0.0
control,control_group_21,1,50,975,11314.000000000004,15128.000000000004,2.3326635361244286,0.7510703812338466,93.26649516860036,76.52548605286853,8760.000000000004,1291.0,1263.0,0.3312911277513048,0.048823840859239076,0.04776491944633536
control,control_group_3,1,14,15,13813.0,244.0,6.53348674062591,1.0104677294683198,60.76302431079467,60.381357557803696,13325.0,488.0,0.0,0.947926300064025,0.03471579995731664,0.0
control,control_group_4,1,8,11,6726.999999999999,489.0,5.61582780377268,1.3247089864666928,62.67708578137353,61.34775309241634,6482.999999999999,0.0,244.0,0.898420177383592,0.0,0.03381374722838138
control,control_group_5,1,11,12,9050.0,369.0,4.2286735607482955,1.854080247426748,54.9808265531671,51.746994923373684,8805.0,245.0,0.0,0.934812612803907,0.026011253848603887,0.0
control,control_group_6,1,9,10,6849.0,122.0,5.530421654238958,0.6767613475398842,72.07694956541147,71.32604183161506,6238.0,611.0,0.0,0.8948500932434371,0.08764883087075025,0.0
control,control_group_7,1,10,13,10274.0,366.0,3.874375215116377,1.5120976692115944,56.8686146816139,53.27988272176031,10274.0,0.0,0.0,0.9656015037593985,0.0,0.0
control,control_group_8,1,11,20,6360.0,854.0,2.5347399543779283,2.3127425177249434,55.928124298538116,52.98213186832076,6360.0,0.0,0.0,0.8816190740227335,0.0,0.0
control,control_group_9,1,7,9,11983.0,0.0,8.313887453511047,0.0,54.52294941072691,54.52294941072691,11494.0,489.0,0.0,0.9591921889343237,0.04080781106567637,0.0
