group,subject,q,fixation_count,saccade_count,total_duration_ms,kw_fix_duration_ms,inst_fix_duration_ms,bg_fix_duration_ms,kw_time_ratio,inst_time_ratio,bg_time_ratio,ttff_ms,ttff_ms_is_missing,scanpath_length,fixation_dispersion,revisit_kw_count,avg_revisit_interval,roi_trans_total,trans_kw_inst,trans_kw_bg,trans_inst_bg,fixation_amplitude_mean_deg,saccade_amplitude_mean_deg,saccade_maxvel_mean,saccade_meanvel_mean
control,control_group_1,5,1,0,9045000.0,0.0,9045000.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0,0.0,0,0,0,0,22.850934810619894,0.0,0.0,0.0
control,control_group_10,5,10,10,6600.0,0.0,5376.0,734.0,0.0,0.8145454545454546,0.1112121212121212,0.0,1,27.154400246740096,14.076615169412694,0,0.0,3,0,0,3,5.5932684223861475,2.7154400246740096,73.4997507567428,69.39135785231143
control,control_group_11,5,8,7,9533.0,0.0,7455.0,2078.0,0.0,0.7820203503619008,0.21797964963809924,0.0,1,0.0,15.522323385654204,0,0.0,2,0,0,2,6.607464915196821,0.0,53.48086389310314,53.48086389310314
control,control_group_12,5,8,7,7457.0,0.0,4524.0,2690.0,0.0,0.6066782888561083,0.36073487997854364,0.0,1,10.96843597258254,14.221642817485144,0,0.0,1,0,0,1,6.990245036709343,1.5669194246546485,63.28262351155263,61.3018590902666
control,control_group_13,5,10,17,7948.0,0.0,5623.0,1591.0,0.0,0.7074735782586814,0.2001761449421238,0.0,1,45.50690809253382,17.37856901925082,0,0.0,6,0,0,6,4.571427069212267,2.6768769466196365,61.401372381455346,58.71328630005979
control,control_group_14,5,12,15,6481.0,0.0,4769.0,612.0,0.0,0.7358432340688166,0.09442987193334362,0.0,1,62.953630107078794,16.459305914644865,0,0.0,1,0,0,1,4.953265870804974,4.196908673805253,59.453243407593654,53.563272554166296
control,control_group_15,5,8,15,3542.000000000001,0.0,1465.0,854.0,0.0,0.4136081309994352,0.24110671936758887,0.0,1,75.27072043642542,16.928590325681654,0,0.0,4,0,0,4,3.101858804740576,5.018048029095028,65.12010660481572,55.69887930307454
control,control_group_16,5,7,12,3666.999999999999,0.0,2198.999999999999,611.0,0.0,0.5996727570220888,0.16662121625306794,0.0,1,59.0052349615904,15.931132349292826,0,0.0,2,0,0,2,4.822637963913647,4.917102913465867,75.02686324912193,70.83979303127786
control,control_group_17,5,6,12,4032.0,0.0,3177.0,0.0,0.0,0.7879464285714286,0.0,0.0,1,72.41890386692826,16.349409701702278,0,0.0,0,0,0,0,6.435901725070496,6.034908655577355,64.46160915949928,57.212466141325
control,control_group_18,5,7,8,4277.0,0.0,3667.0,0.0,0.0,0.8573766658873042,0.0,0.0,1,42.93229720299271,12.248408410894687,0,0.0,0,0,0,0,10.392635621909633,5.366537150374088,76.15152220948013,69.93388178776694
control,control_group_19,5,6,9,3790.0,0.0,3545.0,0.0,0.0,0.9353562005277045,0.0,0.0,1,14.289505734644932,15.827332818198373,0,0.0,0,0,0,0,8.712110679100546,1.5877228594049924,75.09097629004029,67.73537330009952
control,control_group_20,5,9,14,5010.999999999999,0.0,2689.0,1588.0,0.0,0.5366194372380764,0.3169028138096189,0.0,1,36.76923308825908,12.88143700597502,0,0.0,3,0,0,3,3.2267933187142006,2.6263737920185055,59.50575004779402,57.33758916938051
control,control_group_21,5,29,480,13044.000000000002,0.0,3893.999999999998,557.0,0.0,0.2985280588776447,0.04270162526832259,0.0,1,431.3851304768492,12.634862539288667,0,0.0,8,0,0,8,1.2354540877263853,0.8987190218267692,95.33085520391015,76.62655392536081
control,control_group_3,5,10,27,6158.0,0.0,4776.0,489.0,0.0,0.7755764858720364,0.0794088989931796,0.0,1,48.33555896518705,11.993344423372644,0,0.0,2,0,0,2,3.3716257204863247,1.7902058875995204,50.55762303152991,47.992839808948084
control,control_group_4,5,8,11,5132.0,0.0,4521.0,489.0,0.0,0.8809431021044427,0.09528448947778644,0.0,1,12.294956971392786,13.705008089597825,0,0.0,5,0,0,5,6.245867192528897,1.1177233610357078,50.530950309736525,50.48393380276602
control,control_group_5,5,11,12,6234.0,0.0,5255.0,857.0,0.0,0.842957972409368,0.13747192813602824,0.0,1,5.78937623562332,12.778251309046501,0,0.0,4,0,0,4,4.91395589541255,0.48244801963527667,60.1278207516819,58.15675702515747
control,control_group_6,5,12,21,3547.0,0.0,3181.0,122.0,0.0,0.8968142091908655,0.034395263603044825,0.0,1,15.008979992259814,14.358187292405,0,0.0,2,0,0,2,4.358489073600837,0.714713332964753,59.24115294645737,58.05936110898479
control,control_group_7,5,8,9,5015.0,0.0,3792.0,0.0,0.0,0.7561316051844467,0.0,0.0,1,65.9472105663254,12.855783368448204,0,0.0,0,0,0,0,3.84395529897207,7.3274678407028215,74.59736910623346,62.60101341436527
control,control_group_8,5,11,16,8558.0,0.0,5380.0,3056.0,0.0,0.6286515541014256,0.35709277868660905,0.0,1,8.112773955312695,14.964378981522016,0,0.0,7,0,0,7,4.193448105705158,0.5070483722070435,54.60245224752437,54.36226864401259
control,control_group_9,5,11,14,5990.0,0.0,4890.0,246.0,0.0,0.8163606010016694,0.04106844741235392,0.0,1,38.16207268951549,16.087990132185244,0,0.0,2,0,0,2,3.6561751933018543,2.725862334965392,57.35599821099793,54.00393153609714
