group,subject,q,fixation_count,saccade_count,fixation_duration_ms,saccade_duration_ms,fixation_amplitude_mean_deg,saccade_amplitude_mean_deg,saccade_maxvel_mean,saccade_meanvel_mean,kw_fix_duration_ms,inst_fix_duration_ms,bg_fix_duration_ms,kw_time_ratio,inst_time_ratio,bg_time_ratio,RR_1D_x,DET_1D_x,ENT_1D_x,RR_2D_xy,DET_2D_xy,ENT_2D_xy
control,control_group_1,2,1,0,13689000.0,0.0,36.57510863579218,,,,13689000.0,0.0,0.0,1.0,0.0,0.0,0.0512637949448202,0.75,1.6494811899139308,0.0279458882164471,0.821656050955414,2.08290065991191
control,control_group_10,2,13,19,10998.0,123.0,7.845785198621396,0.4625962812724408,55.31781145657551,54.84165280482466,10998.0,0.0,0.0,0.98893984353925,0.0,0.0,0.059752944556162,0.8149038461538461,2.055042576035188,0.0308819304797472,0.8232558139534883,1.9323604131353809
control,control_group_11,2,14,16,7332.999999999999,612.0,3.457557480759523,3.421476792736305,56.18693123013304,54.83257292644191,5620.999999999999,1712.0,0.0,0.707488986784141,0.2154814348646948,0.0,0.0588107638888888,0.7859778597785978,1.9627073351715356,0.0407986111111111,0.8776595744680851,2.5530471733447264
control,control_group_12,2,13,18,21025.0,491.0,5.7788196902722495,1.0444754233040712,45.5980734346198,44.53126322969989,21025.0,0.0,0.0,0.9771797731920432,0.0,0.0,0.0883045806067816,0.858259229318243,2.4496743611008256,0.0533254015466983,0.8625613565372602,2.495957228610629
control,control_group_13,2,12,19,8684.0,0.0,8.056045210195729,0.0,47.155693145999045,47.155693145999045,8071.0,244.0,369.0,0.929410409949332,0.0280976508521418,0.042491939198526,0.0678,0.8731563421828908,1.997178836927276,0.0318,0.8490566037735849,1.9267497585609583
control,control_group_14,2,9,12,7087.0,123.0,9.846821596043648,0.427149973955284,56.25466973356512,55.31400174145082,4277.0,2810.0,0.0,0.5932038834951456,0.3897364771151179,0.0,0.0516107823800131,0.6815286624203821,1.3045163290432813,0.029585798816568,0.8111111111111111,1.7917374334224665
control,control_group_15,2,9,8,9778.0,244.0,12.051046820578057,1.6814065128499551,62.15892957521915,60.34815167389765,9411.0,367.0,0.0,0.9390341249251648,0.0366194372380762,0.0,0.0477430555555555,0.75,1.6550384187005265,0.0269097222222222,0.7661290322580645,1.680165331217427
control,control_group_16,2,13,22,6236.0,245.0,3.1388693949055084,0.646303054685305,57.75447376644948,56.824604092758456,5746.0,490.0,0.0,0.8865915753741707,0.0756056164172195,0.0,0.0580246913580246,0.7276595744680852,1.8679423072220207,0.0296296296296296,0.8083333333333333,1.8143919976736127
control,control_group_17,2,9,12,6843.000000000001,366.0,9.362168047273878,2.088688903078627,59.85195981168652,58.83922275814773,6721.000000000001,122.0,0.0,0.93230683867388,0.01692329033153,0.0,0.0645729850985419,0.8411910669975186,1.624571421649822,0.0418202211184105,0.8850574712643678,2.094230966081864
control,control_group_18,2,8,9,11125.0,367.0,12.199794404455162,3.528857882564262,61.47949973963677,57.78889600951542,10514.0,611.0,0.0,0.9148973198746956,0.0531674208144796,0.0,0.0625857338820301,0.810958904109589,1.940365981288485,0.037037037037037,0.9027777777777778,2.475642876269144
control,control_group_19,2,11,15,3423.0,733.0,7.159959333400455,2.81309166424916,70.05131207267486,61.40872248139358,2689.0,612.0,122.0,0.6470163618864293,0.1472569778633301,0.0293551491819056,0.0491238149956908,0.7076023391812866,1.6038561897747248,0.0301637460499856,0.8666666666666667,1.7381493331928664
control,control_group_20,2,7,12,4524.000000000001,245.0,12.265302676932796,1.0158963775569456,51.35132511782148,48.71573448220847,3913.000000000001,611.0,0.0,0.8205074439085762,0.1281191025372195,0.0,0.0643274853801169,0.7607655502392344,2.034353905017528,0.044013542628501,0.8741258741258742,2.144037784178728
control,control_group_21,2,59,992,9026.0,15865.999999999987,1.331224641560434,0.8076576398870043,91.66904244464284,74.87275201560436,4845.0,3632.999999999999,548.0,0.1946408484653705,0.1459505061867267,0.0220151052547003,0.0671164262846691,0.9595734861099616,4.043903724925634,0.0228834522587672,0.9670434113566512,4.208673575400127
control,control_group_3,2,13,14,7822.0,367.0,3.316672416129798,2.174719133130816,60.46220461297423,59.61365880023933,7455.0,367.0,0.0,0.910367566247405,0.0448162168762974,0.0,0.0581711181530104,0.8482490272373541,2.2235431475670886,0.0464010864644635,0.902439024390244,2.5006399613291164
control,control_group_4,2,8,15,6846.0,613.0,6.777592809685758,3.0112276111794043,48.81313761630069,46.65141264289951,4768.0,0.0,2078.0,0.6392277785225902,0.0,0.2785896232738973,0.0606781677572873,0.8333333333333334,2.262596704725919,0.0419393218322427,0.9361702127659576,2.71312342568541
control,control_group_5,2,16,25,9660.0,488.0,6.391027467860242,1.3743672370956657,57.10298046539637,54.64935743493784,8682.0,978.0,0.0,0.8555380370516358,0.0963736696886086,0.0,0.0632894383230314,0.8343949044585988,2.2002339117389624,0.0306369255576457,0.8771929824561403,2.546864082131504
control,control_group_6,2,21,32,19433.0,733.0,5.804963140408509,1.317828779751202,52.379391333450016,50.39144129410531,18822.0,611.0,0.0,0.9333531686997916,0.0302985222651988,0.0,0.077251690993236,0.8773041474654378,2.615294828935089,0.045879316482734,0.871968962172648,2.389062801362771
control,control_group_7,2,17,22,13446.000000000002,245.0,6.149832760735693,0.5757007165788676,53.175986102810114,52.39964572163524,12957.000000000002,489.0,0.0,0.9463881381929736,0.0357168943101307,0.0,0.0617777777777777,0.837410071942446,2.493690794113393,0.0347555555555555,0.8670076726342711,2.4997472865539088
control,control_group_8,2,11,12,7822.0,491.0,7.009308808288396,3.809039475221234,84.09100239990572,79.23384439843043,5865.0,1957.0,0.0,0.7055214723926381,0.2354144111632383,0.0,0.0730864197530864,0.875,2.5493286439991865,0.0501234567901234,0.8916256157635468,2.7723477236302903
control,control_group_9,2,12,19,9292.0,245.0,3.7394039200235887,0.0668998289502552,46.05629850178591,45.31425735289484,8069.0,1223.0,0.0,0.8460731886337423,0.1282373912131697,0.0,0.0717474489795918,0.8222222222222222,2.369042596346428,0.0428890306122448,0.8921933085501859,2.9916370935847496
