ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x,FixDurSum,FixCount,SaccAmpMean,SaccMaxVelPeak,SaccCount,RegCountSum,ROIFixDurSum
n1q1,Control,1,1,0.0296875,0.0521875,0.6842105263157895,0.6706586826347305,1.0666152167384504,1.0663780363978683,4165.0,15,3.3674099203412666,143.86315330466886,24,15,10.393
n1q2,Control,1,2,0.0293698825204699,0.0548237807048771,0.8121212121212121,0.737012987012987,2.03929381449322,1.6137333749550868,6968.0,20,2.3665288467323857,131.0951087816035,25,25,13.446
n1q3,Control,1,3,0.0541076055479347,0.0757506477671086,0.8647887323943662,0.8591549295774648,2.3318102751892096,2.207730431228464,4892.0,12,4.006958743795872,167.60630919226605,21,15,10.143999999999998
n1q4,Control,1,4,0.0808310249307479,0.169584487534626,0.8786840301576422,0.8676902972884678,3.043243540564909,2.9237403434302003,16375.0,19,1.6734699560725341,102.66897064274406,30,17,23.465999999999983
n1q5,Control,1,5,0.0232096806189248,0.0581233882166236,0.7264957264957265,0.658703071672355,1.3787834934861751,1.2483650467509035,3791.0,14,1.5787456367638866,116.46689476200478,21,8,9.166999999999998
n10q1,Control,10,1,0.0571377714489142,0.0882876468494126,0.8753894080996885,0.8689516129032258,2.456591799503274,3.089569207382981,9050.0,12,1.0732112262267366,93.03282813484392,17,12,12.722999999999999
n10q2,Control,10,2,0.0336110313128411,0.0654984199942545,0.811965811965812,0.8245614035087719,1.9603226898676924,2.091607081595909,10998.0,13,0.4625962812724408,96.19737727777174,19,13,14.425999999999998
n10q3,Control,10,3,0.0319540013196342,0.0483551701385615,0.7699115044247787,0.7270955165692008,1.856861102940894,1.577902350117807,6968.999999999999,14,1.1793354625250259,139.04026915678648,29,9,12.344999999999999
n10q4,Control,10,4,0.1346668649613325,0.1601725163593099,0.8917725013804528,0.8714020427112349,2.521892012790365,2.369387576448284,16012.000000000004,11,2.0979938707861203,97.2509392116068,18,3,19.679999999999986
n10q5,Control,10,5,0.040720585475699,0.0658660161381122,0.7972350230414746,0.6923076923076923,1.710053567474341,1.575924324881026,6110.0,10,2.71544002467401,95.41213675568147,10,16,9.044999999999996
n11q1,Control,11,1,0.0648199445983379,0.0858725761772853,0.8461538461538461,0.8451612903225807,2.722604051320712,2.9026457929923977,8558.0,11,2.035817831587745,88.47273652090787,13,15,12.113999999999997
n11q2,Control,11,2,0.0444878472222222,0.0648871527777777,0.8975609756097561,0.8127090301003345,2.6392426422432265,2.106319402621692,7332.999999999999,14,3.421476792736305,97.2547421719172,16,5,11.491999999999997
n11q3,Control,11,3,0.0440538194444444,0.0592447916666666,0.8275862068965517,0.7912087912087912,2.22707547475733,2.0060479953021333,7702.999999999999,12,0.32592089374834116,137.34322981592442,19,7,11.245
n11q4,Control,11,4,0.1280756294496493,0.1641078419930185,0.9400215392262448,0.9366392965668844,3.2090375840943053,3.1099126001404773,34838.0,11,0.0,62.45786736002593,16,5,37.159
n11q5,Control,11,5,0.0546648150486049,0.084711526322434,0.8337182448036952,0.8181818181818182,2.293243300433463,2.049516543969118,8311.0,10,0.39486154009494717,80.00711423648406,13,7,11.734999999999998
n12q1,Control,12,1,0.0409722222222222,0.0701388888888888,0.8169491525423729,0.7603960396039604,1.8506769351426489,1.656558449821686,11124.0,13,1.392856642027268,92.95751481712288,14,14,14.434
n12q2,Control,12,2,0.0604640095181439,0.0982510410469958,0.8732782369146006,0.8740615161055946,2.6416153455552176,2.5453040906199216,21025.0,13,1.0444754233040703,68.18999158649693,18,6,24.812999999999988
n12q3,Control,12,3,0.0428808864265927,0.0586149584487534,0.8914728682170543,0.7996219281663516,2.383951911126375,2.081739750255036,6845.0,12,0.7720046327996354,116.15391216950742,23,8,11.119999999999997
n12q4,Control,12,4,0.1133494031221303,0.152892561983471,0.9151898734177216,0.9022147147147148,2.6892546348829627,2.6152133062681773,27872.0,17,2.7515260768135414,83.11163843760666,18,7,31.536999999999992
n12q5,Control,12,5,0.0467555555555555,0.1075555555555555,0.9163498098859316,0.9041322314049588,2.710495296984406,2.972025797297158,5870.0,12,3.132055444895781,109.44284493453014,11,7,9.044999999999998
