ID,Group,folder,q,RR-2D-xy,RR-1D-x,DET-2D-xy,DET-1D-x,ENT-2D-xy,ENT-1D-x
n1q1,Control,1,1,0.03625,0.0621875,0.6379310344827587,0.6482412060301508,1.01524483909589,1.0823386573887384
n1q2,Control,1,2,0.0345318618725525,0.0681737273050907,0.8092783505154639,0.720626631853786,1.9114080560598128,1.6618691715490013
n1q3,Control,1,3,0.0687395214144185,0.0888584057308337,0.88470066518847,0.8456260720411664,2.395194255334695,2.473261673115353
n1q4,Control,1,4,0.1122991689750692,0.2141274238227146,0.8860384805130735,0.8871927554980595,3.1656115244178227,3.1513123315375253
n1q5,Control,1,5,0.0355088276135687,0.080341202142432,0.6089385474860335,0.7037037037037037,1.221047785179718,1.5920118364839686
n10q1,Control,10,1,0.0765396938412246,0.0986116055535777,0.9116279069767442,0.8880866425992779,2.573245499590933,3.091401404014546
n10q2,Control,10,2,0.0479747199080723,0.0785693766159149,0.8502994011976048,0.8153564899451554,2.0605806731419944,2.1319217444728644
n10q3,Control,10,3,0.0383636535017438,0.0626826279573946,0.7592137592137592,0.7263157894736842,1.7958450685374368,1.7215300299015894
n10q4,Control,10,4,0.2056811421772754,0.2258328375966686,0.9342010122921186,0.897925584458347,3.0454547717848923,2.6933558651386287
n10q5,Control,10,5,0.0542315631450553,0.081253518483768,0.8615916955017301,0.745958429561201,1.6296804947847925,1.7088556948432123
n11q1,Control,11,1,0.0869806094182825,0.0987257617728531,0.8624203821656051,0.8294051627384961,2.8267573813904585,2.7934059206346475
n11q2,Control,11,2,0.0499131944444444,0.0763888888888889,0.8869565217391304,0.8267045454545454,2.6732396859855405,2.299105798914452
n11q3,Control,11,3,0.0551215277777777,0.0733506944444444,0.8503937007874016,0.8195266272189349,2.513493232615328,2.019519234467326
n11q4,Control,11,4,0.1758639348958609,0.2038960625576929,0.968868778280543,0.9529583181557996,3.5539327571957418,3.34854370291339
n11q5,Control,11,5,0.0746117914404746,0.1097083701552834,0.8849407783417935,0.8711162255466053,2.4803833101297084,2.360336270666122
n12q1,Control,12,1,0.0566666666666666,0.0902777777777777,0.8284313725490197,0.8153846153846154,2.0121828409056906,1.7653389867790432
n12q2,Control,12,2,0.0837358715050565,0.1256632956573468,0.910201761864166,0.9049422457867828,3.079379917445136,2.768985932156655
